cluster_id,n_stations,n_train,n_val,n_test,MLP_R2,MLP_RMSE,MLP_Bias,MLP_Bias_P90,MLP_RMSE_P90,ERA5_R2,ERA5_RMSE,ERA5_Bias,ERA5_Bias_P90,ERA5_RMSE_P90,MLP_test_R2,MLP_test_RMSE,MLP_test_Bias,MLP_test_Bias_P90,MLP_test_RMSE_P90,ERA5_test_R2,ERA5_test_RMSE,ERA5_test_Bias,ERA5_test_Bias_P90,ERA5_test_RMSE_P90,features_ranked
1,3,11572,1069,5058,0.5554377918957983,2.1341986364901397,0.06950669192723115,-1.1944831450839328,3.4240881845682414,-2.3891088369060847,5.8926592143100365,-5.235603529856068,-9.666443412103385,10.010097688000437,0.43984971765226155,2.4639325692016167,0.12490844755808105,-2.0291107330384954,4.402618516331698,-2.066352565663495,5.764844307271525,-5.036771789545503,-9.813229811379289,10.36178666370218,total_precipitation|latitude|longitude|2m_temperature|tp_sum_basin|relative_humidity|gust_factor|t2m_mean_basin|2m_dewpoint_temperature|tp_roll3_basin|tp_max_basin|wind_dir_cos|wind_mag_max_anom|t2m_range_basin|day_sin|rolling7d_wind_mag_max|ws_max_basin|rh_mean_basin|month_sin|d_msl_basin|cos_dir_mean_basin|pressure_tendency|day_cos|t2m_max_basin|ws_std_basin|tp_lag2_basin|10m_u_component_of_wind|month_cos|lag1_gust_obs|sin_dir_mean_basin|tp_lag1_basin|wind_mag_max|td_dep_mean_basin|10m_v_component_of_wind|wind_dir_sin|surface_pressure|rolling7d_gust_obs|ws_mean_basin|t2m_range|lag3_wind_mag_max|ws_p90_basin|t2m_min_basin|lag1_wind_mag_max|era5_clim_wind|rh_p10_basin|wind_mag|msl_range_basin|lag3_gust_obs|wind_mag_std|rolling3d_wind_mag_max|msl_min_basin|lag2_wind_mag_max|lag1_pressure_tendency|lag7_wind_mag_max|msl_mean_basin|lag2_gust_obs
2,15,47725,5280,24484,0.3270372571990132,2.6801179152968206,0.19046042923938056,-2.5244794701879134,4.943979773693805,-1.5476540336258302,5.214691454144049,-4.560477270298835,-9.55832671491025,10.148315154962512,0.3727288239190164,2.546045677678669,0.20530241350656206,-2.3892142859484853,4.865484807671077,-1.5987054216409167,5.182234381901235,-4.537077974387973,-9.492961143354536,10.06419339470975,2m_temperature|tp_max_basin|tp_sum_basin|total_precipitation|gust_factor|rh_p10_basin|tp_roll3_basin|rolling7d_gust_obs|rolling7d_wind_mag_max|t2m_mean_basin|tp_lag1_basin|10m_v_component_of_wind|lag1_gust_obs|relative_humidity|ws_p90_basin|cos_dir_mean_basin|msl_range_basin|lag2_wind_mag_max|wind_mag_max_anom|wind_mag_max|ws_max_basin|lag3_gust_obs|era5_clim_wind|msl_min_basin|10m_u_component_of_wind|wind_dir_sin|day_sin|rh_mean_basin|td_dep_mean_basin|rolling3d_wind_mag_max|wind_dir_cos|ws_std_basin|latitude|tp_lag2_basin|t2m_range_basin|day_cos|wind_mag|lag2_gust_obs|lag1_wind_mag_max|t2m_range|wind_mag_std|ws_mean_basin|longitude|lag3_wind_mag_max|month_cos|month_sin|lag1_pressure_tendency|pressure_tendency|sin_dir_mean_basin|d_msl_basin|t2m_max_basin|surface_pressure|2m_dewpoint_temperature|lag7_wind_mag_max|t2m_min_basin|msl_mean_basin
3,9,23590,2767,12582,0.5204677281294455,2.5557564289651182,0.18805661193355724,-1.9347634100608917,4.402160467513198,-1.4552707342758633,5.783093788236165,-5.175938038305552,-9.525905928356307,10.110856241309403,0.45376097139048266,2.624726980109563,0.1155333714489383,-2.346385622243766,5.056448351414872,-1.5701465737656468,5.693400271110739,-5.0047364315211995,-9.874011747857605,10.442427836417304,rh_p10_basin|latitude|tp_sum_basin|day_cos|td_dep_mean_basin|total_precipitation|rolling7d_gust_obs|longitude|lag2_wind_mag_max|lag1_gust_obs|tp_lag2_basin|lag3_wind_mag_max|wind_mag_max_anom|d_msl_basin|gust_factor|lag3_gust_obs|msl_mean_basin|tp_roll3_basin|t2m_range_basin|10m_u_component_of_wind|wind_dir_cos|tp_lag1_basin|10m_v_component_of_wind|rolling7d_wind_mag_max|tp_max_basin|t2m_max_basin|era5_clim_wind|ws_std_basin|rh_mean_basin|lag2_gust_obs|t2m_min_basin|ws_max_basin|ws_mean_basin|lag1_wind_mag_max|month_cos|2m_temperature|surface_pressure|wind_mag_max|t2m_range|relative_humidity|day_sin|rolling3d_wind_mag_max|sin_dir_mean_basin|wind_mag_std|2m_dewpoint_temperature|cos_dir_mean_basin|t2m_mean_basin|lag1_pressure_tendency|pressure_tendency|msl_range_basin|month_sin|lag7_wind_mag_max|msl_min_basin|wind_dir_sin|ws_p90_basin|wind_mag
4,30,92761,9488,47954,0.5145875705303065,2.7471723858581587,0.21652131179958212,-2.5330725736185653,5.0284377602828165,-2.0382238117025127,6.872905105222847,-5.903692230283208,-13.28924606343418,14.059790600338424,0.5413422806281165,2.598305268929184,0.2783452853850442,-2.228673739792855,4.893776721905424,-1.7277583059948767,6.336490145843212,-5.4003992105368575,-12.077844297028868,12.84325107240402,rolling7d_gust_obs|td_dep_mean_basin|rolling7d_wind_mag_max|10m_u_component_of_wind|cape_18z|ws_max_basin|msl_18z|mslp_tendency_18z|thickness_1000_500_18z|longitude|wind_shear_850_500_18z|tp_sum_basin|wind_mag_max|tp_roll3_basin|day_sin|day_cos|latitude|wind_shear_850_300_18z|lag1_gust_obs|10m_v_component_of_wind|msl_min_basin|tp_max_basin|rh_p10_basin|wind_mag|month_cos|rolling3d_wind_mag_max|era5_clim_wind|wind_mag_max_anom|rh_mean_basin|gust_factor|lag2_wind_mag_max|lag2_gust_obs|relative_humidity|ws_mean_basin|cos_dir_mean_basin|total_precipitation|bt55_flag|pressure_tendency|wind100m_mag_18z|wind_dir_cos|lag1_pressure_tendency|t2m_range_basin|lag1_wind_mag_max|d_msl_basin|ws_p90_basin|surface_pressure|ws_std_basin|month_sin|sin_dir_mean_basin|lag3_gust_obs|msl_mean_basin|tp_lag2_basin|wind10m_mag_18z|wind_dir_sin|lag3_wind_mag_max|t2m_min_basin|msl_range_basin|wind_mag_std|t2m_range|lapse_rate_850_500_18z|tp_lag1_basin|bt55_rolling3d|bt55_rolling7d|lag7_wind_mag_max|wind_shear_sfc_18z|2m_temperature|t2m_mean_basin|q850_18z|bt55_frac_month|2m_dewpoint_temperature|t2m_max_basin
5,20,66958,6581,29184,0.37127490636376825,2.3991646403622346,0.3372743253006625,-2.30792162429002,4.360933722930089,-1.8072938592832468,5.069598816825545,-4.300680984617131,-9.49945760597886,9.962360912091894,0.34125413149575845,2.400252560842795,0.36899373637881683,-1.9433854164422502,4.4467972656418775,-1.7830932471229661,4.93357651719339,-4.24294808965111,-8.99385827586704,9.486133730091389,longitude|rh_p10_basin|thickness_1000_500_18z|10m_u_component_of_wind|rolling7d_wind_mag_max|rolling7d_gust_obs|lapse_rate_850_500_18z|msl_18z|latitude|ws_max_basin|wind_shear_sfc_18z|mslp_tendency_18z|q850_18z|total_precipitation|wind_shear_850_300_18z|wind_mag_max|2m_dewpoint_temperature|t2m_range|gust_factor|rolling3d_wind_mag_max|bt55_flag|wind_mag_max_anom|t2m_range_basin|cos_dir_mean_basin|rh_mean_basin|wind10m_mag_18z|wind_shear_850_500_18z|lag1_gust_obs|pressure_tendency|tp_roll3_basin|bt55_rolling3d|d_msl_basin|era5_clim_wind|wind_mag_std|10m_v_component_of_wind|lag2_gust_obs|msl_min_basin|wind_dir_cos|tp_sum_basin|tp_max_basin|2m_temperature|td_dep_mean_basin|ws_p90_basin|lag2_wind_mag_max|wind100m_mag_18z|relative_humidity|tp_lag1_basin|lag1_wind_mag_max|lag3_gust_obs|day_cos|msl_range_basin|ws_std_basin|cape_18z|lag1_pressure_tendency|t2m_min_basin|day_sin|wind_mag|ws_mean_basin|t2m_max_basin|month_cos|lag3_wind_mag_max|sin_dir_mean_basin|bt55_rolling7d|t2m_mean_basin|wind_dir_sin|surface_pressure|tp_lag2_basin|lag7_wind_mag_max|month_sin|msl_mean_basin|bt55_frac_month
6,15,48229,4069,17700,0.28543915547225174,2.8184594177188083,0.14599802908148626,-3.3527505012035888,5.1882124437665285,-3.1940258412832634,6.828223526177506,-6.188350114525903,-12.189654045267405,12.587588350262578,0.26605243134165246,2.77883738141555,0.31310611008714784,-3.016557240438437,5.16055627911011,-2.898123598657213,6.404104603831394,-5.724384151361757,-11.635521594961114,12.047216021436096,thickness_1000_500_18z|lapse_rate_850_500_18z|relative_humidity|tp_roll3_basin|rh_mean_basin|gust_factor|mslp_tendency_18z|t2m_min_basin|wind_dir_sin|t2m_range|msl_18z|wind_mag_max_anom|bt55_flag|longitude|rolling7d_gust_obs|rolling7d_wind_mag_max|10m_u_component_of_wind|10m_v_component_of_wind|tp_sum_basin|ws_std_basin|ws_max_basin|wind100m_mag_18z|cape_18z|t2m_range_basin|total_precipitation|rolling3d_wind_mag_max|t2m_max_basin|bt55_rolling3d|wind_shear_sfc_18z|lag3_gust_obs|surface_pressure|pressure_tendency|msl_range_basin|wind_mag_std|d_msl_basin|lag2_gust_obs|sin_dir_mean_basin|tp_max_basin|lag3_wind_mag_max|lag1_pressure_tendency|t2m_mean_basin|wind_shear_850_300_18z|td_dep_mean_basin|wind_mag_max|msl_mean_basin|wind_shear_850_500_18z|day_sin|q850_18z|2m_temperature|ws_p90_basin|bt55_rolling7d|latitude|wind10m_mag_18z|bt55_frac_month|wind_mag|day_cos|rh_p10_basin|lag2_wind_mag_max|tp_lag2_basin|month_cos|month_sin|ws_mean_basin|msl_min_basin|lag1_gust_obs|tp_lag1_basin|era5_clim_wind|cos_dir_mean_basin|2m_dewpoint_temperature|lag1_wind_mag_max|wind_dir_cos|lag7_wind_mag_max
7,9,28093,3160,13449,0.02044227113734043,2.8192837280611864,0.529844275684135,-2.7975009038102807,4.728578479720654,-3.4271532461954033,5.993576385957011,-5.4323328069342836,-10.45728445854862,10.829925793195214,0.011794353754852271,2.762108163508497,0.5565323254812113,-2.5262409807716932,4.766102050486448,-3.3150308427545587,5.7717693567740875,-5.21308535036522,-10.32384776206277,10.72775218042636,tp_roll3_basin|thickness_1000_500_18z|wind_shear_850_300_18z|lapse_rate_850_500_18z|td_dep_mean_basin|tp_sum_basin|wind_shear_850_500_18z|2m_dewpoint_temperature|ws_p90_basin|longitude|relative_humidity|2m_temperature|10m_v_component_of_wind|cos_dir_mean_basin|wind_dir_cos|10m_u_component_of_wind|t2m_mean_basin|cape_18z|month_cos|rh_p10_basin|gust_factor|lag1_wind_mag_max|day_sin|sin_dir_mean_basin|t2m_max_basin|t2m_min_basin|lag3_wind_mag_max|bt55_rolling3d|bt55_flag|lag1_gust_obs|tp_max_basin|wind100m_mag_18z|msl_min_basin|total_precipitation|msl_18z|era5_clim_wind|t2m_range|tp_lag1_basin|day_cos|latitude|msl_range_basin|wind_dir_sin|rh_mean_basin|lag2_wind_mag_max|rolling7d_gust_obs|wind_shear_sfc_18z|bt55_rolling7d|month_sin|surface_pressure|mslp_tendency_18z|lag1_pressure_tendency|rolling7d_wind_mag_max|ws_std_basin|bt55_frac_month|t2m_range_basin|wind10m_mag_18z|msl_mean_basin|q850_18z|wind_mag_std|tp_lag2_basin|wind_mag_max_anom|lag2_gust_obs|lag3_gust_obs|ws_max_basin|d_msl_basin|lag7_wind_mag_max|pressure_tendency|ws_mean_basin|wind_mag|wind_mag_max|rolling3d_wind_mag_max
8,15,51034,5243,21792,0.21936906684273583,2.5618965423719255,0.3235415806459843,-2.462709590737787,4.576575170665966,-3.072527037087891,5.851546996218257,-5.28638776004394,-10.348686725447113,10.70071339178189,0.2839152575485566,2.413268375869393,0.36792616759305397,-2.4328920348610166,4.339052776846048,-2.8237289811776622,5.5765674952348245,-5.005429846513333,-10.000880030603781,10.392705677758457,lapse_rate_850_500_18z|wind_shear_850_500_18z|relative_humidity|t2m_mean_basin|total_precipitation|rh_mean_basin|rolling7d_gust_obs|wind_shear_sfc_18z|tp_roll3_basin|tp_sum_basin|msl_18z|month_cos|day_sin|mslp_tendency_18z|day_cos|2m_dewpoint_temperature|cape_18z|latitude|2m_temperature|rolling7d_wind_mag_max|msl_min_basin|td_dep_mean_basin|wind_shear_850_300_18z|month_sin|lag1_wind_mag_max|rh_p10_basin|wind100m_mag_18z|lag2_wind_mag_max|cos_dir_mean_basin|gust_factor|bt55_rolling7d|pressure_tendency|10m_u_component_of_wind|lag7_wind_mag_max|tp_max_basin|bt55_flag|tp_lag1_basin|rolling3d_wind_mag_max|longitude|wind10m_mag_18z|wind_dir_cos|sin_dir_mean_basin|wind_mag_max_anom|t2m_max_basin|wind_dir_sin|lag1_gust_obs|bt55_rolling3d|d_msl_basin|t2m_range|ws_max_basin|tp_lag2_basin|10m_v_component_of_wind|bt55_frac_month|lag3_gust_obs|wind_mag_max|q850_18z|wind_mag_std|msl_range_basin|surface_pressure|thickness_1000_500_18z|lag3_wind_mag_max|lag2_gust_obs|ws_mean_basin|t2m_range_basin|ws_std_basin|lag1_pressure_tendency|era5_clim_wind|msl_mean_basin|wind_mag|ws_p90_basin|t2m_min_basin
9,35,82143,10839,50899,0.27925036386639845,2.55933030353587,0.003680647175482525,-3.3299615219353504,5.047444068866448,-3.1283531324883764,6.1252319973479405,-5.427273838934021,-11.329396958862032,11.789969799463703,0.331745488791635,2.4358939605143184,0.13648382941375828,-2.537137005154111,4.517072043493763,-2.7506673220313,5.770875451357738,-5.0399994811130355,-10.666898059048554,11.138278176855337,rolling7d_gust_obs|ws_p90_basin|total_precipitation|2m_temperature|tp_max_basin|relative_humidity|td_dep_mean_basin|rolling7d_wind_mag_max|t2m_mean_basin|ws_max_basin|latitude|t2m_min_basin|wind_mag_max|rh_p10_basin|longitude|tp_sum_basin|gust_factor|tp_roll3_basin|10m_u_component_of_wind|era5_clim_wind|lag1_gust_obs|tp_lag1_basin|surface_pressure|day_cos|rh_mean_basin|wind_dir_cos|10m_v_component_of_wind|tp_lag2_basin|t2m_max_basin|wind_mag_max_anom|cos_dir_mean_basin|ws_mean_basin|msl_mean_basin|2m_dewpoint_temperature|day_sin|msl_min_basin|t2m_range_basin|lag1_wind_mag_max|t2m_range|rolling3d_wind_mag_max|month_sin|lag3_wind_mag_max|lag2_gust_obs|lag1_pressure_tendency|wind_mag|ws_std_basin|msl_range_basin|d_msl_basin|lag3_gust_obs|pressure_tendency|lag7_wind_mag_max|lag2_wind_mag_max|sin_dir_mean_basin|month_cos|wind_dir_sin|wind_mag_std
10,31,86123,9619,48260,0.2908306153214306,2.469694356656572,0.12521307611275448,-3.311691738435484,4.861986782939551,-3.49331747898428,6.216583517919823,-5.5659613196549165,-11.413869577136762,11.750921034303008,0.24738002130914094,2.4841558705433355,0.18949265121036976,-3.0976085158222775,4.763288681604762,-3.5202675294606545,6.08797752829775,-5.448871345787784,-11.247114640071203,11.592080560064467,rolling7d_gust_obs|relative_humidity|total_precipitation|msl_min_basin|gust_factor|2m_temperature|tp_max_basin|surface_pressure|10m_v_component_of_wind|longitude|tp_sum_basin|ws_max_basin|rh_p10_basin|lag1_gust_obs|rh_mean_basin|rolling7d_wind_mag_max|lag1_wind_mag_max|wind_mag_max|ws_mean_basin|tp_lag1_basin|ws_p90_basin|t2m_mean_basin|latitude|t2m_min_basin|10m_u_component_of_wind|month_cos|t2m_range_basin|day_cos|wind_mag_max_anom|msl_mean_basin|td_dep_mean_basin|tp_roll3_basin|era5_clim_wind|tp_lag2_basin|ws_std_basin|2m_dewpoint_temperature|t2m_max_basin|lag2_wind_mag_max|sin_dir_mean_basin|d_msl_basin|lag1_pressure_tendency|cos_dir_mean_basin|wind_mag|wind_dir_sin|day_sin|month_sin|wind_dir_cos|lag3_gust_obs|t2m_range|lag3_wind_mag_max|lag2_gust_obs|rolling3d_wind_mag_max|msl_range_basin|wind_mag_std|pressure_tendency|lag7_wind_mag_max
