estacao,cluster_id,latitude,longitude
A501,10,-19.95,-44.0833
A502,10,-21.2283,-43.7678
A503,11,-20.7417,-42.0175
A504,9,-21.45,-45.95
A505,10,-19.6058,-46.9497
A506,14,-16.6864,-43.8439
A507,10,-18.9169,-48.2556
A508,13,-16.1667,-40.6878
A509,9,-22.8617,-46.0433
A510,11,-20.7625,-42.8639
A511,11,-19.5739,-42.6225
A512,7,-18.9528,-49.525
A513,10,-20.5567,-43.7561
A514,10,-21.1064,-44.2508
A515,9,-21.5664,-45.4042
A516,10,-20.7453,-46.6339
A517,11,-21.105,-42.3758
A518,9,-21.77,-43.3644
A519,7,-19.5392,-49.5181
A520,10,-19.9858,-48.1517
A521,10,-19.8839,-43.9694
A522,13,-17.7989,-40.25
A523,10,-18.9967,-46.9858
A524,10,-20.455,-45.4539
A525,10,-19.8753,-47.4342
A526,14,-14.4083,-44.4042
A527,12,-17.8928,-41.5156
A528,12,-18.2008,-45.4597
A529,9,-22.3958,-44.9619
A530,9,-21.9181,-46.3831
A531,9,-22.3144,-45.3731
A532,12,-18.8303,-41.9769
A533,12,-18.7869,-42.9431
A534,12,-19.5328,-41.0908
A535,10,-19.8853,-44.4169
A536,10,-19.4819,-45.5939
A537,14,-18.2311,-43.6483
A538,10,-18.7478,-44.4539
A539,14,-15.0858,-44.0161
A540,12,-18.7806,-40.9864
A541,13,-17.7056,-42.3892
A542,14,-16.5542,-46.8819
A543,13,-14.9122,-42.8086
A544,14,-15.5242,-46.4356
A545,14,-17.2581,-44.8356
A546,10,-17.5614,-47.1992
A547,14,-16.3628,-45.1239
A548,14,-15.3003,-45.6175
A549,13,-15.7517,-41.4578
A550,13,-16.5756,-41.4856
A551,13,-15.7231,-42.4358
A552,13,-16.1603,-42.3103
A553,10,-17.7844,-46.1194
A554,11,-19.7358,-42.1372
A555,10,-20.0314,-44.0111
A556,11,-20.2633,-42.1828
A557,10,-21.5467,-43.2611
A559,14,-15.4481,-44.3664
A560,10,-19.2325,-44.9642
A561,10,-20.91,-47.1142
A562,10,-18.5206,-46.4406
A563,13,-15.8028,-43.2969
A564,10,-20.1733,-44.875
A565,10,-20.0311,-46.0089
A566,13,-16.8489,-42.0353
A567,9,-21.6808,-45.9444
A568,10,-19.71,-47.9619
A569,10,-19.4553,-44.1733
A570,10,-20.715,-44.8644
A571,14,-17.2444,-46.8817
A572,10,-19.9339,-43.9522
A601,9,-22.7578,-43.6847
A602,9,-23.0503,-43.5956
A603,9,-22.5897,-43.2822
A604,11,-21.5875,-41.9583
