feature,importance,std,cluster_id
rolling3d_wind_mag_max,0.6117026451378915,0.03746426652976079,4
tp_roll3_basin,0.33753102203887336,0.01923063395405785,4
total_precipitation,0.2972236144600064,0.02954065299796592,4
wind_shear_sfc_18z,0.24180916324858306,0.028296112654617775,4
wind_mag_max,0.15155069736000623,0.014741069377683857,4
rolling7d_gust_obs,0.13164410930910692,0.015540636273570885,4
lag2_wind_mag_max,0.12843385233716653,0.012289576965589365,4
wind100m_mag_18z,0.10267473311132692,0.009540709113459871,4
2m_dewpoint_temperature,0.099860983959102,0.014215919687168727,4
relative_humidity,0.09873902990823279,0.009569825660422316,4
q850_18z,0.09552226833529541,0.015777143036271476,4
lag1_wind_mag_max,0.0932627561975642,0.01560763252444337,4
wind_mag,0.08943797117207163,0.011937906673189953,4
tp_lag2_basin,0.08923865850587245,0.012113768550713657,4
wind10m_mag_18z,0.08459785915881354,0.010242760687752832,4
tp_lag1_basin,0.0844938981435669,0.01688015974072604,4
tp_max_basin,0.08310804604245067,0.015235245186462595,4
ws_p90_basin,0.08194380711727606,0.01036092090549075,4
rh_p10_basin,0.07975700162429177,0.010651202993863698,4
lapse_rate_850_500_18z,0.07920507305773433,0.011566002036500047,4
2m_temperature,0.07722271390621169,0.013625188518388565,4
gust_factor,0.06825490598644782,0.011233415629226933,4
cape_18z,0.06603934306532169,0.02353795722507967,4
thickness_1000_500_18z,0.0646063789697008,0.011359515499047039,4
t2m_min_basin,0.06350182017318318,0.00948632431549763,4
day_cos,0.06328939361247632,0.013025889207950815,4
longitude,0.0582355568005075,0.012491121721922922,4
wind_mag_std,0.0529310678393535,0.011367482252105696,4
t2m_max_basin,0.050121027545907075,0.009412265199454092,4
month_cos,0.0478607866575206,0.009149474547860696,4
latitude,0.042081861968752424,0.010495424204483446,4
wind_shear_850_300_18z,0.04005052916207379,0.01069330986428846,4
10m_v_component_of_wind,0.03787940587431112,0.01692944208388533,4
pressure_tendency,0.037450817817598264,0.012711756545734853,4
month_sin,0.036646042895303994,0.008313498720343626,4
wind_mag_max_anom,0.032903259152346716,0.009870974098584956,4
mslp_tendency_18z,0.032254604855802324,0.014654369145912161,4
bt55_rolling7d,0.03175987988158251,0.011914386431297318,4
msl_range_basin,0.031390734363479375,0.009553044060761148,4
lag3_wind_mag_max,0.028905881831766116,0.01128136563683372,4
t2m_range,0.024311074314109237,0.00792532755820535,4
10m_u_component_of_wind,0.02185193438939367,0.012677833279685864,4
lag1_pressure_tendency,0.0180972589844302,0.01149187703742365,4
lag3_gust_obs,0.01797065307157486,0.010658246199082531,4
wind_dir_sin,0.016772603389994038,0.012493507030968486,4
wind_shear_850_500_18z,0.016717723104344287,0.0076202831389288045,4
bt55_flag,0.01617299925958126,0.006714417303282306,4
era5_clim_wind,0.01403425900191236,0.00932109810197681,4
wind_dir_cos,0.013973391436807099,0.0037132747695020566,4
lag2_gust_obs,0.01052769806174411,0.008492016699352454,4
day_sin,0.009825666513267306,0.008712651095675582,4
lag1_gust_obs,0.009503910558671658,0.010264489126472773,4
rolling7d_wind_mag_max,0.008834625843047202,0.010580867875530585,4
msl_18z,0.008045726862500713,0.008308648241464366,4
surface_pressure,0.00019534803208055192,0.010631831463785577,4
msl_min_basin,-0.001531736224661732,0.008462061544777202,4
bt55_frac_month,-0.009310916351824173,0.010649774457458225,4
lag7_wind_mag_max,-0.012514651387950219,0.015584402711597502,4
bt55_rolling3d,-0.02854785379936131,0.010528449378198057,4
