feature,importance,std,cluster_id
tp_max_basin,0.4649649570303709,0.05315452324556536,1
latitude,0.3823210067748128,0.03779690530714951,1
longitude,0.3711749441645745,0.025303511472724367,1
2m_temperature,0.2886837323642316,0.03887758980500538,1
total_precipitation,0.2755338675591779,0.0331244967103287,1
rolling3d_wind_mag_max,0.26222993935008476,0.03043829906881364,1
tp_roll3_basin,0.2229402921243475,0.042716446670594724,1
pressure_tendency,0.1660197618534515,0.03945537911261546,1
relative_humidity,0.14825073366759306,0.03053679757571629,1
gust_factor,0.14800634642483235,0.03936974258427514,1
lag1_wind_mag_max,0.0958224767959865,0.019656430468985117,1
wind_dir_cos,0.08413693169331712,0.018067123207591688,1
day_cos,0.08108680900051933,0.014543117698231993,1
tp_lag1_basin,0.07293638880339058,0.018173836231056582,1
rh_p10_basin,0.06586841006760735,0.01778501153438519,1
month_cos,0.05656401973773295,0.017603156320796617,1
10m_v_component_of_wind,0.05037200387139531,0.014265764696462508,1
wind_mag,0.047656820172449876,0.025260387626359262,1
rolling7d_gust_obs,0.045099982695934335,0.012497491084173527,1
lag2_wind_mag_max,0.044193309245634,0.01883040156463635,1
wind_dir_sin,0.04412437428045255,0.014554067100084217,1
t2m_max_basin,0.041448728033563725,0.024618489579610804,1
tp_lag2_basin,0.04070737816742447,0.023004578606260973,1
era5_clim_wind,0.04037813357032158,0.010040663461590917,1
wind_mag_max_anom,0.034778790007362746,0.009939988645719874,1
rolling7d_wind_mag_max,0.03410288215439716,0.014628431888706233,1
t2m_range,0.03275908459291939,0.01494651865154993,1
t2m_min_basin,0.03230605313531957,0.01674256324015748,1
month_sin,0.03215881925292616,0.014616816079446805,1
10m_u_component_of_wind,0.031446518389005695,0.020407500569405296,1
lag1_gust_obs,0.028855407336517636,0.013114190241070725,1
lag3_gust_obs,0.025064280689231774,0.012892586918579403,1
msl_range_basin,0.02424171533678138,0.011287589553655275,1
lag7_wind_mag_max,0.021504335612950693,0.014065999199987264,1
day_sin,0.0198137298955159,0.010528113529814349,1
wind_mag_std,0.01711207425009115,0.008712238247027762,1
lag2_gust_obs,0.014404234626354599,0.0247987800204577,1
ws_p90_basin,0.01392445305936966,0.02317653353484552,1
msl_min_basin,0.013044314997441683,0.010654952794464293,1
surface_pressure,0.009314047907870738,0.013702503058340232,1
wind_mag_max,0.009101571820822814,0.011580732015864143,1
2m_dewpoint_temperature,0.007433753805192267,0.011412254545276689,1
lag3_wind_mag_max,0.0016562639888307788,0.015330017737231912,1
lag1_pressure_tendency,-0.0030664161698948107,0.015765067462965906,1
tp_max_basin,0.40072690039372,0.03650321912211805,2
total_precipitation,0.21383060077423693,0.01994551390072166,2
10m_v_component_of_wind,0.2014505001861691,0.019795238733504097,2
t2m_range,0.17925272447967966,0.01621627688408403,2
rolling3d_wind_mag_max,0.1790417632894234,0.011923402171785362,2
day_sin,0.134153337674607,0.022417139298978813,2
month_sin,0.11995390531358854,0.017176767759004948,2
rolling7d_wind_mag_max,0.11834908500999637,0.015520249538377313,2
wind_dir_sin,0.11720577218472931,0.014243016792168299,2
rolling7d_gust_obs,0.10919079128619945,0.011459935205791229,2
gust_factor,0.10225843231866456,0.013345874366876008,2
wind_mag_max_anom,0.10109893434277409,0.011976372674023078,2
ws_p90_basin,0.09917878759420985,0.012639507691174974,2
day_cos,0.0915928584487701,0.01597250065876946,2
wind_mag,0.09023646458955188,0.009425509902966471,2
tp_lag1_basin,0.08818449494794141,0.013498371044884364,2
rh_p10_basin,0.08525980780645949,0.017724552327341263,2
tp_roll3_basin,0.08361271364775415,0.01663303893902564,2
relative_humidity,0.08360183008891475,0.015550417020653467,2
10m_u_component_of_wind,0.07622882995764052,0.011707304763596577,2
wind_mag_max,0.06159061720477437,0.012183864694352705,2
t2m_max_basin,0.056653701871793284,0.009828305177288795,2
surface_pressure,0.0540711597690757,0.011038877427912697,2
2m_temperature,0.05173395456328175,0.009273504767147523,2
wind_mag_std,0.05086482663653588,0.011105776479661544,2
lag1_wind_mag_max,0.04977013685861149,0.01407800263524133,2
lag2_wind_mag_max,0.04967377274548765,0.012465929549672109,2
pressure_tendency,0.048265206277308334,0.014404705346244929,2
lag3_wind_mag_max,0.04812956293634422,0.0129358317863705,2
lag1_gust_obs,0.04560276275852817,0.010071563777907175,2
wind_dir_cos,0.0429829133645579,0.014384628764905023,2
month_cos,0.04294669755255868,0.011013490804114554,2
t2m_min_basin,0.04225028722398119,0.013837068712441636,2
latitude,0.041748615430588804,0.019529905890021893,2
lag3_gust_obs,0.037919753771208035,0.012864700564153241,2
msl_range_basin,0.026994210652780515,0.01376321371368715,2
lag2_gust_obs,0.025245041286554137,0.015075802410198322,2
lag7_wind_mag_max,0.01801325916108046,0.010541718655410832,2
era5_clim_wind,0.01682446456711218,0.013356839062624058,2
2m_dewpoint_temperature,0.013714602729873793,0.00980196960950841,2
tp_lag2_basin,0.001503284880747898,0.016936461775891924,2
longitude,0.0008062158134498028,0.01028205975317422,2
msl_min_basin,-0.0101199358097539,0.00811049970883879,2
lag1_pressure_tendency,-0.012429156569892038,0.019460946094202562,2
latitude,0.24083952852011092,0.02457529729416458,3
10m_u_component_of_wind,0.20517577122432165,0.02834448016029244,3
total_precipitation,0.16234493714243073,0.022905831429442455,3
rh_p10_basin,0.15792521112360505,0.020879948130387644,3
tp_max_basin,0.1483595686654702,0.02573277253992388,3
tp_roll3_basin,0.1372860222749834,0.012084320576488578,3
lag1_wind_mag_max,0.12615712539973947,0.03009486148971784,3
day_cos,0.10509144412686237,0.026562673582666677,3
10m_v_component_of_wind,0.09764306130094225,0.014113239727677035,3
wind_dir_sin,0.09632401759659133,0.01023820597097221,3
longitude,0.09562824996805169,0.016648439155693924,3
pressure_tendency,0.09180425527641596,0.021526212252500815,3
rolling7d_gust_obs,0.08543801014234781,0.01638440519257322,3
wind_mag,0.08443665746332621,0.014345628376620775,3
lag2_wind_mag_max,0.08320864871950508,0.016848857614077794,3
wind_mag_max,0.08183966880740014,0.015405035480768072,3
t2m_range,0.08021151707661375,0.017148689867570836,3
rolling3d_wind_mag_max,0.07996041832609938,0.01704288683844289,3
lag1_gust_obs,0.07855293442162802,0.013735567221054212,3
lag3_wind_mag_max,0.07827354915980965,0.01426922391516975,3
rolling7d_wind_mag_max,0.07184699442370887,0.016085578234800613,3
wind_mag_max_anom,0.06784797072525126,0.01080661915327265,3
gust_factor,0.06557740848682919,0.014365123604559642,3
msl_range_basin,0.06540909205783184,0.01390273839278312,3
era5_clim_wind,0.06344966224511817,0.01945627964909196,3
wind_mag_std,0.06261445544300569,0.012720254633151656,3
ws_p90_basin,0.05299538638968691,0.010759097363169483,3
relative_humidity,0.05147631929412539,0.024652842173650474,3
lag2_gust_obs,0.0493830928790293,0.013250353387986122,3
day_sin,0.04795157728787284,0.01821307059753508,3
lag3_gust_obs,0.04431260049309057,0.02723912386123214,3
month_sin,0.041555832865489625,0.01628636697658672,3
2m_temperature,0.03551132861037168,0.024979208415404075,3
2m_dewpoint_temperature,0.03410140746051929,0.01633387570139366,3
lag1_pressure_tendency,0.033464967555921564,0.01578961758233454,3
month_cos,0.0323669548810254,0.012120939724037329,3
tp_lag2_basin,0.031052973028927386,0.011154596006029369,3
tp_lag1_basin,0.02838017932238935,0.00823294039368158,3
t2m_max_basin,0.027349654011390355,0.012288738912105936,3
wind_dir_cos,0.024476796121416726,0.01250597100257894,3
msl_min_basin,0.02445895822259284,0.019501995387473346,3
surface_pressure,0.023230148959100264,0.017338287006652915,3
t2m_min_basin,0.018933356284817085,0.01827703140045219,3
lag7_wind_mag_max,0.011571333761509917,0.014690320526550832,3
wind_shear_850_500_18z,0.3403437153543352,0.03077234574828584,4
rolling7d_gust_obs,0.19577439160593688,0.007989486766365905,4
10m_u_component_of_wind,0.1360260921610933,0.01825490519078035,4
longitude,0.11006515733585784,0.010743597971650904,4
rolling7d_wind_mag_max,0.10502435430851832,0.007911509122436093,4
wind_mag_max,0.06520159764412134,0.00699811164018737,4
thickness_1000_500_18z,0.06276902389171768,0.010761667472319023,4
wind_shear_850_300_18z,0.06231807976012765,0.010869303489386507,4
relative_humidity,0.05993445998790029,0.006041320609803773,4
msl_18z,0.05838304929376556,0.013661574328447315,4
cape_18z,0.053019653412980115,0.01000048290019809,4
mslp_tendency_18z,0.049668605875943704,0.01016783301866009,4
lag1_gust_obs,0.04006603998565334,0.0035657396354150067,4
tp_roll3_basin,0.03936493708682994,0.0034002473011110717,4
total_precipitation,0.038693417391505565,0.006229195021692429,4
wind_mag_max_anom,0.03700585170112492,0.004857858720274438,4
bt55_flag,0.033955912521367274,0.006725506186404143,4
