cluster_id,n_stations,n_train,n_val,n_test,MLP_R2,MLP_RMSE,MLP_Bias,MLP_Bias_P90,MLP_RMSE_P90,ERA5_R2,ERA5_RMSE,ERA5_Bias,ERA5_Bias_P90,ERA5_RMSE_P90,MLP_test_R2,MLP_test_RMSE,MLP_test_Bias,MLP_test_Bias_P90,MLP_test_RMSE_P90,ERA5_test_R2,ERA5_test_RMSE,ERA5_test_Bias,ERA5_test_Bias_P90,ERA5_test_RMSE_P90,features_ranked
1,3,11572,1069,5058,0.3611838745819298,2.5583296422178594,0.31169411449014967,-1.2294040743359376,4.010616500899012,-2.3891088369060847,5.8926592143100365,-5.235603529856068,-9.666443412103385,10.010097688000437,0.3176152424507187,2.719513364163171,0.3412056048064776,-1.654247913967191,4.874479445258751,-2.066352565663495,5.764844307271525,-5.036771789545503,-9.813229811379289,10.36178666370218,tp_max_basin|latitude|longitude|2m_temperature|total_precipitation|rolling3d_wind_mag_max|tp_roll3_basin|pressure_tendency|relative_humidity|gust_factor|lag1_wind_mag_max|wind_dir_cos|day_cos|tp_lag1_basin|rh_p10_basin|month_cos|10m_v_component_of_wind|wind_mag|rolling7d_gust_obs|lag2_wind_mag_max|wind_dir_sin|t2m_max_basin|tp_lag2_basin|era5_clim_wind|wind_mag_max_anom|rolling7d_wind_mag_max|t2m_range|t2m_min_basin|month_sin|10m_u_component_of_wind|lag1_gust_obs|lag3_gust_obs|msl_range_basin|lag7_wind_mag_max|day_sin|wind_mag_std|lag2_gust_obs|ws_p90_basin|msl_min_basin|surface_pressure|wind_mag_max|2m_dewpoint_temperature|lag3_wind_mag_max|lag1_pressure_tendency
2,15,47725,5280,24484,0.26470095147548944,2.8014984935300284,0.2992103071818654,-2.160625922079796,5.076828926015731,-1.5476540336258302,5.214691454144049,-4.560477270298835,-9.55832671491025,10.148315154962512,0.29948917429607746,2.690580254789947,0.28039851533113885,-2.1412870137671676,4.979975581872793,-1.5987054216409167,5.182234381901235,-4.537077974387973,-9.492961143354536,10.06419339470975,tp_max_basin|total_precipitation|10m_v_component_of_wind|t2m_range|rolling3d_wind_mag_max|day_sin|month_sin|rolling7d_wind_mag_max|wind_dir_sin|rolling7d_gust_obs|gust_factor|wind_mag_max_anom|ws_p90_basin|day_cos|wind_mag|tp_lag1_basin|rh_p10_basin|tp_roll3_basin|relative_humidity|10m_u_component_of_wind|wind_mag_max|t2m_max_basin|surface_pressure|2m_temperature|wind_mag_std|lag1_wind_mag_max|lag2_wind_mag_max|pressure_tendency|lag3_wind_mag_max|lag1_gust_obs|wind_dir_cos|month_cos|t2m_min_basin|latitude|lag3_gust_obs|msl_range_basin|lag2_gust_obs|lag7_wind_mag_max|era5_clim_wind|2m_dewpoint_temperature|tp_lag2_basin|longitude|msl_min_basin|lag1_pressure_tendency
3,9,23590,2767,12582,0.514517752276575,2.571563299172022,-0.053221130897954945,-2.981877341174945,4.861605030577777,-1.4552707342758633,5.783093788236165,-5.175938038305552,-9.525905928356307,10.110856241309403,0.4404985587166821,2.6563994198842082,-0.01730899027074328,-2.784481108640024,5.08755746458672,-1.5701465737656468,5.693400271110739,-5.0047364315211995,-9.874011747857605,10.442427836417304,latitude|10m_u_component_of_wind|total_precipitation|rh_p10_basin|tp_max_basin|tp_roll3_basin|lag1_wind_mag_max|day_cos|10m_v_component_of_wind|wind_dir_sin|longitude|pressure_tendency|rolling7d_gust_obs|wind_mag|lag2_wind_mag_max|wind_mag_max|t2m_range|rolling3d_wind_mag_max|lag1_gust_obs|lag3_wind_mag_max|rolling7d_wind_mag_max|wind_mag_max_anom|gust_factor|msl_range_basin|era5_clim_wind|wind_mag_std|ws_p90_basin|relative_humidity|lag2_gust_obs|day_sin|lag3_gust_obs|month_sin|2m_temperature|2m_dewpoint_temperature|lag1_pressure_tendency|month_cos|tp_lag2_basin|tp_lag1_basin|t2m_max_basin|wind_dir_cos|msl_min_basin|surface_pressure|t2m_min_basin|lag7_wind_mag_max
4,30,92761,9488,47954,0.46761599221296546,2.877020567871336,0.40677766277597893,-2.39339555130507,5.121830383069844,-2.0382238117025127,6.872905105222847,-5.903692230283208,-13.28924606343418,14.059790600338424,0.49969077153918706,2.7137202615633806,0.46792324373804844,-1.8271451625285335,4.754508117542946,-1.7277583059948767,6.336490145843212,-5.4003992105368575,-12.077844297028868,12.84325107240402,wind_shear_850_500_18z|rolling7d_gust_obs|10m_u_component_of_wind|longitude|rolling7d_wind_mag_max|wind_mag_max|thickness_1000_500_18z|wind_shear_850_300_18z|relative_humidity|msl_18z|cape_18z|mslp_tendency_18z|lag1_gust_obs|tp_roll3_basin|total_precipitation|wind_mag_max_anom|bt55_flag|wind_dir_cos|tp_max_basin|10m_v_component_of_wind|day_sin|t2m_range|day_cos|era5_clim_wind|gust_factor|rh_p10_basin|latitude|wind_mag_std|wind_dir_sin|wind100m_mag_18z|lapse_rate_850_500_18z|lag3_wind_mag_max|rolling3d_wind_mag_max|lag2_gust_obs|t2m_max_basin|tp_lag2_basin|msl_min_basin|wind10m_mag_18z|surface_pressure|month_cos|2m_temperature|pressure_tendency|lag3_gust_obs|t2m_min_basin|msl_range_basin|lag1_wind_mag_max|tp_lag1_basin|wind_mag|bt55_rolling3d|lag1_pressure_tendency|lag2_wind_mag_max|lag7_wind_mag_max|bt55_rolling7d|wind_shear_sfc_18z|ws_p90_basin|bt55_frac_month|month_sin|q850_18z|2m_dewpoint_temperature
5,20,66958,6581,29184,0.3260839214508242,2.4838911719536254,0.34503312547671133,-2.1200416787224636,4.335384210888179,-1.8072938592832468,5.069598816825545,-4.300680984617131,-9.49945760597886,9.962360912091894,0.2697157208626835,2.52722532733227,0.44646582663093365,-1.7488108194120986,4.311622349397655,-1.7830932471229661,4.93357651719339,-4.24294808965111,-8.99385827586704,9.486133730091389,longitude|rolling7d_wind_mag_max|wind_mag_max|thickness_1000_500_18z|bt55_flag|rolling7d_gust_obs|2m_dewpoint_temperature|latitude|tp_max_basin|relative_humidity|t2m_range|day_sin|rh_p10_basin|rolling3d_wind_mag_max|wind_shear_sfc_18z|lapse_rate_850_500_18z|wind_mag_max_anom|msl_18z|total_precipitation|t2m_max_basin|wind_dir_cos|q850_18z|pressure_tendency|10m_u_component_of_wind|wind10m_mag_18z|2m_temperature|mslp_tendency_18z|tp_roll3_basin|gust_factor|10m_v_component_of_wind|lag1_wind_mag_max|wind_dir_sin|wind_mag|cape_18z|bt55_rolling3d|wind100m_mag_18z|lag1_pressure_tendency|wind_shear_850_300_18z|lag1_gust_obs|era5_clim_wind|t2m_min_basin|lag2_gust_obs|msl_range_basin|lag2_wind_mag_max|lag7_wind_mag_max|wind_mag_std|wind_shear_850_500_18z|lag3_gust_obs|surface_pressure|msl_min_basin|lag3_wind_mag_max|tp_lag1_basin|bt55_rolling7d|day_cos|tp_lag2_basin|month_cos|ws_p90_basin|month_sin|bt55_frac_month
6,15,48229,4069,17700,0.20757805543722363,2.9680446195904207,0.3636406670003912,-2.994777101274413,5.152895799471414,-3.1940258412832634,6.828223526177506,-6.188350114525903,-12.189654045267405,12.587588350262578,0.23573278104821815,2.8356539499796525,0.502627602869694,-2.6129550647517887,4.981240660798002,-2.898123598657213,6.404104603831394,-5.724384151361757,-11.635521594961114,12.047216021436096,surface_pressure|relative_humidity|thickness_1000_500_18z|total_precipitation|rolling7d_wind_mag_max|lapse_rate_850_500_18z|rolling7d_gust_obs|t2m_range|msl_18z|longitude|tp_roll3_basin|2m_temperature|mslp_tendency_18z|bt55_flag|t2m_min_basin|gust_factor|tp_max_basin|wind_mag_max_anom|msl_min_basin|wind_dir_sin|wind_shear_sfc_18z|rolling3d_wind_mag_max|latitude|wind_mag_max|wind_shear_850_300_18z|day_cos|10m_u_component_of_wind|bt55_rolling3d|pressure_tendency|lag2_gust_obs|day_sin|10m_v_component_of_wind|2m_dewpoint_temperature|msl_range_basin|lag1_gust_obs|wind10m_mag_18z|wind_mag_std|rh_p10_basin|wind_mag|wind_dir_cos|t2m_max_basin|ws_p90_basin|lag3_gust_obs|q850_18z|wind_shear_850_500_18z|tp_lag2_basin|lag2_wind_mag_max|wind100m_mag_18z|month_sin|cape_18z|bt55_frac_month|bt55_rolling7d|lag1_pressure_tendency|month_cos|era5_clim_wind|lag1_wind_mag_max|tp_lag1_basin|lag3_wind_mag_max|lag7_wind_mag_max
7,9,28093,3160,13449,0.02685932592511353,2.8100340308341205,0.38800938765599374,-2.695684151060093,4.7838952489301905,-3.4271532461954033,5.993576385957011,-5.4323328069342836,-10.45728445854862,10.829925793195214,-0.04368364483717424,2.838582067977216,0.4951807428266038,-2.524488305579067,4.918086903821648,-3.3150308427545587,5.7717693567740875,-5.21308535036522,-10.32384776206277,10.72775218042636,wind_shear_850_500_18z|wind_shear_850_300_18z|wind_mag|tp_roll3_basin|relative_humidity|2m_dewpoint_temperature|mslp_tendency_18z|ws_p90_basin|wind_dir_cos|wind_mag_max|day_sin|lapse_rate_850_500_18z|10m_v_component_of_wind|cape_18z|wind_mag_max_anom|wind_dir_sin|2m_temperature|wind100m_mag_18z|month_cos|10m_u_component_of_wind|msl_18z|bt55_flag|t2m_max_basin|total_precipitation|thickness_1000_500_18z|month_sin|rolling3d_wind_mag_max|wind10m_mag_18z|latitude|day_cos|t2m_min_basin|tp_lag1_basin|lag1_wind_mag_max|tp_max_basin|gust_factor|tp_lag2_basin|bt55_rolling3d|longitude|pressure_tendency|lag1_gust_obs|wind_mag_std|wind_shear_sfc_18z|msl_min_basin|lag3_wind_mag_max|rh_p10_basin|rolling7d_wind_mag_max|surface_pressure|msl_range_basin|lag2_wind_mag_max|era5_clim_wind|bt55_frac_month|t2m_range|bt55_rolling7d|lag7_wind_mag_max|q850_18z|lag3_gust_obs|lag1_pressure_tendency|lag2_gust_obs|rolling7d_gust_obs
8,15,51034,5243,21792,0.16803432033580734,2.644791343805294,0.23587745370767105,-2.5681361824432596,4.55895028463861,-3.072527037087891,5.851546996218257,-5.28638776004394,-10.348686725447113,10.70071339178189,0.20620699379573382,2.5408384081516457,0.3521269435228042,-2.6952060936181774,4.441636663433586,-2.8237289811776622,5.5765674952348245,-5.005429846513333,-10.000880030603781,10.392705677758457,lapse_rate_850_500_18z|relative_humidity|2m_temperature|wind10m_mag_18z|wind_dir_cos|wind100m_mag_18z|wind_shear_850_300_18z|10m_u_component_of_wind|month_sin|wind_shear_sfc_18z|wind_shear_850_500_18z|total_precipitation|rolling7d_gust_obs|bt55_rolling3d|rolling7d_wind_mag_max|gust_factor|wind_mag_max|cape_18z|2m_dewpoint_temperature|pressure_tendency|tp_lag1_basin|day_sin|wind_dir_sin|longitude|tp_max_basin|latitude|tp_roll3_basin|rh_p10_basin|month_cos|bt55_rolling7d|10m_v_component_of_wind|t2m_range|t2m_max_basin|bt55_flag|day_cos|lag3_gust_obs|lag7_wind_mag_max|lag1_gust_obs|bt55_frac_month|msl_min_basin|thickness_1000_500_18z|wind_mag_max_anom|lag1_wind_mag_max|lag2_wind_mag_max|t2m_min_basin|msl_range_basin|wind_mag_std|tp_lag2_basin|rolling3d_wind_mag_max|q850_18z|msl_18z|era5_clim_wind|lag1_pressure_tendency|lag3_wind_mag_max|surface_pressure|mslp_tendency_18z|lag2_gust_obs|ws_p90_basin|wind_mag
9,35,82143,10839,50899,0.17576958246196328,2.736896926707513,0.26118724352935946,-3.1064076377888425,5.037576762424684,-3.1283531324883764,6.1252319973479405,-5.427273838934021,-11.329396958862032,11.789969799463703,0.22367730813740605,2.6254791237806074,0.4247007702479343,-2.349953153136899,4.555891806601928,-2.7506673220313,5.770875451357738,-5.0399994811130355,-10.666898059048554,11.138278176855337,ws_p90_basin|latitude|rolling7d_gust_obs|rh_p10_basin|rolling7d_wind_mag_max|tp_max_basin|10m_u_component_of_wind|10m_v_component_of_wind|2m_temperature|2m_dewpoint_temperature|wind_dir_cos|surface_pressure|longitude|month_sin|month_cos|t2m_max_basin|wind_dir_sin|t2m_min_basin|era5_clim_wind|day_cos|t2m_range|gust_factor|total_precipitation|relative_humidity|msl_min_basin|wind_mag_std|lag1_wind_mag_max|wind_mag_max|lag1_gust_obs|wind_mag|wind_mag_max_anom|pressure_tendency|tp_lag1_basin|lag2_wind_mag_max|tp_lag2_basin|lag1_pressure_tendency|rolling3d_wind_mag_max|lag3_wind_mag_max|msl_range_basin|tp_roll3_basin|lag3_gust_obs|day_sin|lag2_gust_obs|lag7_wind_mag_max
10,31,86123,9619,48260,0.17976170468589991,2.6560621987713224,0.3334091811402333,-3.12076455893724,4.904769024422522,-3.49331747898428,6.216583517919823,-5.5659613196549165,-11.413869577136762,11.750921034303008,0.12810192830326128,2.673768667913138,0.4455647246808423,-2.9115284262792853,4.77773433005665,-3.5202675294606545,6.08797752829775,-5.448871345787784,-11.247114640071203,11.592080560064467,msl_min_basin|surface_pressure|total_precipitation|relative_humidity|rh_p10_basin|rolling7d_gust_obs|tp_max_basin|day_sin|longitude|day_cos|10m_u_component_of_wind|rolling7d_wind_mag_max|2m_temperature|wind_mag_max_anom|wind_dir_cos|wind_dir_sin|t2m_min_basin|gust_factor|ws_p90_basin|t2m_range|wind_mag_max|era5_clim_wind|2m_dewpoint_temperature|lag1_wind_mag_max|rolling3d_wind_mag_max|10m_v_component_of_wind|latitude|tp_lag1_basin|pressure_tendency|lag1_pressure_tendency|wind_mag|lag2_gust_obs|lag1_gust_obs|lag3_wind_mag_max|month_sin|lag3_gust_obs|tp_roll3_basin|msl_range_basin|t2m_max_basin|month_cos|wind_mag_std|tp_lag2_basin|lag2_wind_mag_max|lag7_wind_mag_max
