feature,importance,std,cluster_id
latitude,0.4588285342920729,0.028029281802077286,1
tp_max_basin,0.32355293573575794,0.024169599031300754,1
total_precipitation,0.25690540577329496,0.033383962488613646,1
rolling3d_wind_mag_max,0.24238603208036136,0.030378632326982787,1
longitude,0.2387586767701792,0.023523725544092388,1
wind_mag_max,0.13836467602023358,0.0256798041002135,1
tp_lag2_basin,0.11624253878983758,0.014352016092507316,1
lag2_wind_mag_max,0.08920255805211487,0.016122762762488484,1
gust_factor,0.07513874935275089,0.0118913640454115,1
lag3_wind_mag_max,0.07216372228672187,0.017613006361240885,1
wind_mag_std,0.0721205521568992,0.019195394321480982,1
tp_lag1_basin,0.06851529004420778,0.015869707135264283,1
tp_roll3_basin,0.06107377973340543,0.011748125581894303,1
lag1_wind_mag_max,0.057624208204087105,0.008718394233451084,1
wind_mag_max_anom,0.04962191613946964,0.015206227925715151,1
10m_u_component_of_wind,0.04959902511378057,0.009666460010457402,1
2m_temperature,0.04870577040831996,0.007572229573357265,1
lag1_gust_obs,0.04621900116124478,0.00875267256948633,1
wind_dir_cos,0.04559474449407887,0.006208598446384049,1
day_cos,0.04101827456787109,0.007079447464227952,1
rolling7d_wind_mag_max,0.03881308843917667,0.011183377202059665,1
2m_dewpoint_temperature,0.03751409462383068,0.01033634908309367,1
rolling7d_gust_obs,0.0367428883024659,0.008009352224911975,1
t2m_range,0.036179057023387036,0.005915579340313887,1
wind_dir_sin,0.035737199682328954,0.011727332364974627,1
rh_p10_basin,0.035459253487205356,0.014116491732399717,1
lag3_gust_obs,0.03391421614181536,0.0119736826258105,1
10m_v_component_of_wind,0.031859336980227713,0.008209174250275597,1
msl_range_basin,0.027814502138864487,0.007486859002512155,1
lag2_gust_obs,0.027025187917470477,0.010267780626371896,1
pressure_tendency,0.025464084207813542,0.008232063671190762,1
month_cos,0.024662776817834065,0.006631408799029935,1
msl_min_basin,0.02246032635880454,0.009937740431465628,1
t2m_max_basin,0.015334088258857632,0.010384919059300448,1
t2m_min_basin,0.013915467146520914,0.008216352594857413,1
surface_pressure,0.013129365542649044,0.00868265200182414,1
ws_p90_basin,0.012923622188267177,0.008590252471124554,1
era5_clim_wind,0.01197860759800001,0.011032775453389852,1
wind_mag,0.01162289435709994,0.007868847423631425,1
lag7_wind_mag_max,0.007076096211527553,0.007546936588729003,1
day_sin,0.007070272837486935,0.006836333017154893,1
month_sin,0.007065099155243293,0.006694526501790656,1
relative_humidity,0.004132682546538276,0.005956222952452559,1
lag1_pressure_tendency,0.0008089437242248569,0.008811967915187381,1
total_precipitation,0.5956652788772924,0.03495116505356681,2
tp_roll3_basin,0.25333167866240147,0.016043913153294485,2
rolling3d_wind_mag_max,0.2036866878261054,0.009043173742441115,2
tp_max_basin,0.17213904359435173,0.013196641369054404,2
rolling7d_gust_obs,0.13320588642705214,0.007265861418444228,2
wind_mag_max,0.10981209507129835,0.0067488222725590845,2
rolling7d_wind_mag_max,0.1013231276465994,0.010114113378925873,2
tp_lag1_basin,0.07963620950947409,0.014206435954768651,2
ws_p90_basin,0.07819753955465157,0.005069389165087079,2
wind_dir_cos,0.06981814417427108,0.010447148883053863,2
tp_lag2_basin,0.06695696456426385,0.013694010207034068,2
