cluster_id,n_stations,n_train,n_val,n_test,MLP_R2,MLP_RMSE,MLP_Bias,MLP_Bias_P90,MLP_RMSE_P90,ERA5_R2,ERA5_RMSE,ERA5_Bias,ERA5_Bias_P90,ERA5_RMSE_P90,MLP_test_R2,MLP_test_RMSE,MLP_test_Bias,MLP_test_Bias_P90,MLP_test_RMSE_P90,ERA5_test_R2,ERA5_test_RMSE,ERA5_test_Bias,ERA5_test_Bias_P90,ERA5_test_RMSE_P90,features_ranked
1,4,3979,1428,1459,0.3329766478645866,2.6371913334314407,0.2022647050703035,-2.044855646949795,4.520932164891849,-2.2442653309467993,5.816065694034491,-5.154009285911459,-9.913602986529066,10.37255708428476,0.21178849983365744,3.1038130724478594,0.19667580999400214,-2.7614741801268883,6.114472001295056,-1.9655084651049348,6.02037797785363,-5.243026489080674,-10.93840606637197,11.518314047730135,latitude|tp_max_basin|total_precipitation|rolling3d_wind_mag_max|longitude|wind_mag_max|tp_lag2_basin|lag2_wind_mag_max|gust_factor|lag3_wind_mag_max|wind_mag_std|tp_lag1_basin|tp_roll3_basin|lag1_wind_mag_max|wind_mag_max_anom|10m_u_component_of_wind|2m_temperature|lag1_gust_obs|wind_dir_cos|day_cos|rolling7d_wind_mag_max|2m_dewpoint_temperature|rolling7d_gust_obs|t2m_range|wind_dir_sin|rh_p10_basin|lag3_gust_obs|10m_v_component_of_wind|msl_range_basin|lag2_gust_obs|pressure_tendency|month_cos|msl_min_basin|t2m_max_basin|t2m_min_basin|surface_pressure|ws_p90_basin|era5_clim_wind|wind_mag|lag7_wind_mag_max|day_sin|month_sin|relative_humidity|lag1_pressure_tendency
2,16,15194,4921,5193,0.2209235309303279,3.0480527207702006,0.00845184796781336,-3.6456911266550756,5.80299659814753,-1.5446660347222458,5.508683583624401,-4.745888450174307,-10.297968428181667,10.840053616571124,0.18433654472851024,3.0361697197375035,0.13004322696320236,-3.5356931768262156,5.794697700428854,-1.5372838957968207,5.354945729642507,-4.622703984255233,-10.186592497183204,10.812150155293182,total_precipitation|tp_roll3_basin|rolling3d_wind_mag_max|tp_max_basin|rolling7d_gust_obs|wind_mag_max|rolling7d_wind_mag_max|tp_lag1_basin|ws_p90_basin|wind_dir_cos|tp_lag2_basin|2m_dewpoint_temperature|relative_humidity|rh_p10_basin|lag2_wind_mag_max|10m_u_component_of_wind|gust_factor|wind_mag_std|lag1_wind_mag_max|msl_min_basin|10m_v_component_of_wind|month_cos|pressure_tendency|lag1_gust_obs|wind_mag|wind_dir_sin|t2m_max_basin|t2m_range|lag3_gust_obs|month_sin|wind_mag_max_anom|surface_pressure|lag1_pressure_tendency|t2m_min_basin|msl_range_basin|day_cos|lag2_gust_obs|lag3_wind_mag_max|2m_temperature|longitude|latitude|day_sin|era5_clim_wind|lag7_wind_mag_max
3,9,7899,2847,2845,0.22045267762819099,3.139106506655996,0.25228793251643505,-2.715716297431269,6.230169256407126,-1.27074588305351,5.3575850835393855,-4.541029887824131,-9.71768406482592,10.444927020148924,0.19230887692088694,2.9833847438814742,0.07850543720292931,-2.997424153567908,5.999051972678116,-1.6338241055927138,5.387409573910502,-4.640752310744489,-9.83062879073991,10.500549452639103,total_precipitation|rolling3d_wind_mag_max|tp_max_basin|tp_roll3_basin|latitude|surface_pressure|wind_mag_std|t2m_min_basin|lag1_wind_mag_max|longitude|rolling7d_gust_obs|lag2_wind_mag_max|wind_mag_max|2m_temperature|rolling7d_wind_mag_max|tp_lag1_basin|t2m_max_basin|msl_min_basin|msl_range_basin|day_cos|t2m_range|10m_v_component_of_wind|rh_p10_basin|era5_clim_wind|pressure_tendency|wind_dir_sin|relative_humidity|wind_mag|2m_dewpoint_temperature|lag1_pressure_tendency|gust_factor|tp_lag2_basin|ws_p90_basin|month_cos|wind_mag_max_anom|lag3_wind_mag_max|10m_u_component_of_wind|lag1_gust_obs|lag3_gust_obs|lag2_gust_obs|lag7_wind_mag_max|month_sin|wind_dir_cos|day_sin
4,30,28618,10126,9541,0.3872348058215934,3.2070376663807694,-0.04385703870640891,-2.9423942065096447,5.9642862123192915,-1.6714908836262126,6.696284000619584,-5.704994437832524,-12.849031856327546,13.538347023608257,0.33375526380436427,3.017400764543479,0.06290736140158738,-2.6686016489395317,5.566719554060475,-1.782306564860857,6.166213970498532,-5.289521664491603,-11.475191961582485,12.15118117830253,wind_mag_max|rolling7d_gust_obs|tp_roll3_basin|rolling3d_wind_mag_max|tp_max_basin|total_precipitation|day_cos|rolling7d_wind_mag_max|surface_pressure|lag1_gust_obs|tp_lag1_basin|longitude|tp_lag2_basin|msl_min_basin|rh_p10_basin|month_cos|2m_temperature|wind_mag_std|10m_v_component_of_wind|t2m_max_basin|wind_mag|t2m_min_basin|ws_p90_basin|day_sin|t2m_range|10m_u_component_of_wind|gust_factor|wind_dir_cos|2m_dewpoint_temperature|pressure_tendency|lag3_gust_obs|lag2_gust_obs|month_sin|relative_humidity|era5_clim_wind|wind_mag_max_anom|wind_dir_sin|lag1_wind_mag_max|latitude|lag3_wind_mag_max|lag1_pressure_tendency|lag2_wind_mag_max|lag7_wind_mag_max|msl_range_basin
5,20,17141,6235,6005,0.19947494184252412,2.8573727651597034,0.062159415718526276,-3.5466394555005274,5.617822253524421,-1.536330406696866,5.086070194095303,-4.295002377773153,-9.717287302743166,10.212256798660714,0.17424201897141356,2.5733729277680455,0.14944889932506736,-2.543336033919817,4.499943640799618,-1.701931173485307,4.654933476498333,-4.017389027514525,-8.36478692238627,8.856017519116474,2m_temperature|total_precipitation|tp_max_basin|longitude|latitude|wind_mag|rh_p10_basin|rolling3d_wind_mag_max|wind_mag_max|tp_roll3_basin|2m_dewpoint_temperature|month_sin|gust_factor|t2m_range|rolling7d_gust_obs|surface_pressure|t2m_max_basin|relative_humidity|rolling7d_wind_mag_max|day_cos|10m_u_component_of_wind|lag1_wind_mag_max|10m_v_component_of_wind|wind_dir_cos|day_sin|t2m_min_basin|msl_range_basin|msl_min_basin|tp_lag1_basin|era5_clim_wind|ws_p90_basin|lag2_wind_mag_max|lag1_gust_obs|month_cos|wind_dir_sin|lag3_wind_mag_max|lag2_gust_obs|lag1_pressure_tendency|wind_mag_max_anom|pressure_tendency|wind_mag_std|lag7_wind_mag_max|lag3_gust_obs|tp_lag2_basin
6,15,9688,4122,4142,-0.0032928338951929703,3.5017509346249556,-0.1499931779998876,-4.382590490713837,6.699808938786636,-2.6640924514632216,6.6919796199453385,-5.953169826030268,-12.59245978069766,13.005469027266104,-0.05032636649512834,3.350941075245467,-0.2234291652507672,-4.441086771515119,6.562903925085972,-2.925744599230417,6.478368952652102,-5.780762533569382,-11.937861750560387,12.35739221041866,tp_max_basin|total_precipitation|msl_min_basin|rolling3d_wind_mag_max|rolling7d_wind_mag_max|wind_mag|ws_p90_basin|wind_mag_max|rolling7d_gust_obs|tp_lag1_basin|wind_mag_max_anom|day_sin|2m_temperature|2m_dewpoint_temperature|wind_dir_sin|surface_pressure|month_sin|relative_humidity|t2m_min_basin|10m_u_component_of_wind|tp_roll3_basin|lag2_wind_mag_max|rh_p10_basin|t2m_max_basin|latitude|wind_mag_std|lag2_gust_obs|t2m_range|msl_range_basin|10m_v_component_of_wind|day_cos|wind_dir_cos|lag1_pressure_tendency|lag3_gust_obs|month_cos|longitude|pressure_tendency|lag1_gust_obs|lag3_wind_mag_max|lag7_wind_mag_max|tp_lag2_basin|lag1_wind_mag_max|era5_clim_wind|gust_factor
7,9,8177,2725,2544,-0.1018039593580835,3.4083489621444993,-0.07429762098407484,-4.728496172313763,6.7619244309394,-2.514159159827716,6.086990201869767,-5.33928820639794,-11.562413451435802,12.094301852721767,-0.0770006129115679,2.703064052614866,-0.17797602428906872,-3.557093039820381,5.113227952012615,-3.754419354051473,5.679330000719847,-5.191540653806812,-9.877864225179769,10.165735099087794,2m_temperature|rolling3d_wind_mag_max|t2m_max_basin|rolling7d_wind_mag_max|tp_max_basin|total_precipitation|wind_mag_max_anom|relative_humidity|tp_roll3_basin|rh_p10_basin|ws_p90_basin|tp_lag1_basin|wind_dir_cos|latitude|wind_mag_std|wind_dir_sin|10m_u_component_of_wind|longitude|wind_mag_max|lag2_wind_mag_max|tp_lag2_basin|surface_pressure|rolling7d_gust_obs|lag1_wind_mag_max|msl_min_basin|lag1_gust_obs|wind_mag|lag3_wind_mag_max|msl_range_basin|day_cos|month_sin|t2m_min_basin|t2m_range|day_sin|2m_dewpoint_temperature|era5_clim_wind|10m_v_component_of_wind|lag2_gust_obs|lag1_pressure_tendency|lag3_gust_obs|pressure_tendency|gust_factor|month_cos|lag7_wind_mag_max
8,15,12614,4589,4589,-0.027634053339731013,3.1269438003872203,0.13138241729433303,-4.072973939456805,6.069135629821261,-2.518676004559919,5.786160442630469,-5.114174714512388,-10.869094182146862,11.299787089116194,0.056888261456490063,2.8032973068315914,0.16462820946937454,-3.2532987792159336,5.048640126164743,-2.742643291052077,5.584403658991566,-5.004629681696947,-9.951602010778203,10.39015126153268,tp_roll3_basin|total_precipitation|wind_mag_max|tp_max_basin|tp_lag1_basin|rolling7d_gust_obs|rolling3d_wind_mag_max|wind_dir_cos|2m_temperature|2m_dewpoint_temperature|10m_u_component_of_wind|rh_p10_basin|day_sin|relative_humidity|tp_lag2_basin|t2m_range|rolling7d_wind_mag_max|wind_dir_sin|ws_p90_basin|10m_v_component_of_wind|wind_mag_std|lag1_wind_mag_max|longitude|surface_pressure|lag2_wind_mag_max|month_sin|latitude|day_cos|msl_min_basin|pressure_tendency|lag2_gust_obs|lag3_wind_mag_max|month_cos|lag3_gust_obs|t2m_min_basin|lag1_pressure_tendency|msl_range_basin|gust_factor|t2m_max_basin|wind_mag|lag1_gust_obs|lag7_wind_mag_max|wind_mag_max_anom|era5_clim_wind
9,34,30452,10564,10528,0.1945373985733857,2.913081656000531,0.16054150374833775,-3.369887779293901,5.4179383760931685,-2.339925593140296,5.931962051577194,-5.073766845297696,-11.406257870462206,11.880398578015958,0.24408885959004212,2.68303589907984,0.021101859488969508,-2.957327918462125,5.130554875133057,-2.343097727835778,5.642423073857329,-4.849215123443483,-10.702991027341493,11.199772676325331,rolling7d_gust_obs|wind_mag|tp_roll3_basin|wind_mag_max|rolling3d_wind_mag_max|2m_dewpoint_temperature|tp_max_basin|2m_temperature|longitude|rh_p10_basin|rolling7d_wind_mag_max|total_precipitation|lag1_gust_obs|t2m_range|relative_humidity|tp_lag2_basin|surface_pressure|wind_mag_max_anom|t2m_max_basin|ws_p90_basin|wind_dir_sin|wind_dir_cos|tp_lag1_basin|gust_factor|lag3_wind_mag_max|10m_v_component_of_wind|latitude|10m_u_component_of_wind|lag2_wind_mag_max|day_cos|pressure_tendency|msl_min_basin|era5_clim_wind|lag2_gust_obs|t2m_min_basin|lag1_wind_mag_max|lag7_wind_mag_max|msl_range_basin|wind_mag_std|lag1_pressure_tendency|month_sin|day_sin|month_cos|lag3_gust_obs
10,30,29089,9934,9997,-0.0903881808067597,3.14334918271591,0.20287163058994584,-3.3688057335122794,5.719547625382669,-3.2177015285689166,6.182156311122395,-5.472891473887743,-11.663422259062378,11.975607364697437,-0.04712148840536434,2.852535873700354,0.04087020051816271,-3.0541154305593223,5.243839718740572,-3.61296010428258,5.98718155851695,-5.374214474162995,-10.830844235883175,11.22929407242114,msl_min_basin|surface_pressure|wind_mag_max|rolling7d_gust_obs|day_cos|total_precipitation|rolling7d_wind_mag_max|2m_temperature|tp_max_basin|rh_p10_basin|rolling3d_wind_mag_max|t2m_max_basin|day_sin|month_sin|tp_lag1_basin|wind_dir_sin|longitude|10m_v_component_of_wind|lag2_wind_mag_max|10m_u_component_of_wind|relative_humidity|month_cos|gust_factor|tp_roll3_basin|wind_mag_max_anom|msl_range_basin|lag1_gust_obs|t2m_range|wind_dir_cos|wind_mag|2m_dewpoint_temperature|lag7_wind_mag_max|pressure_tendency|lag3_gust_obs|latitude|era5_clim_wind|wind_mag_std|lag1_pressure_tendency|tp_lag2_basin|t2m_min_basin|ws_p90_basin|lag2_gust_obs|lag3_wind_mag_max|lag1_wind_mag_max
