cluster_id,season,pipeline,arm,metric,metric_value,n_samples,has_fitted_model,fallback_from
1,ALL,lazy,original,R2,0.5560404163620954,2151,True,
2,ALL,lstm,original,R2,0.41914841872103037,24379,True,
3,ALL,lstm,basin,R2,0.5099082115184919,12519,True,
4,ALL,mlp,all_basin,R2,0.5413422806281165,47954,True,
5,ALL,mlp,all,R2,0.356139360253818,29184,True,
6,ALL,lstm,basin,R2,0.26663073032111395,17595,True,
7,ALL,lazy,original,R2,0.1294595123894285,2725,True,
8,ALL,mlp,all,R2,0.2914387713605324,21792,True,
9,ALL,mlp,all_basin,R2,0.331745488791635,50899,True,
10,ALL,mlp,all_basin,R2,0.2473800213091409,48260,True,
11,ALL,mlp,all_basin,R2,0.4450484659060837,24815,True,
12,ALL,mlp,all_basin,R2,0.4331518310056728,29790,True,
13,ALL,mlp,all_basin,R2,0.1943483041075395,15789,True,
14,ALL,lazy,original,R2,0.1611669042057506,3758,True,
1,DJF,lazy,original,R2,0.3851293225496291,539,True,
2,DJF,lstm,original,R2,0.2007,6346,True,
3,DJF,lstm,basin,R2,0.295,3184,True,
4,DJF,mlp,synthetic,R2,0.31409348591522357,12048,True,
5,DJF,mlp,all,R2,0.12950338869868006,7346,True,
6,DJF,mlp,all_basin,R2,0.03765221593012025,4665,True,
7,DJF,lazy,original,R2,-0.0061785314085054,682,True,
8,DJF,mlp,all,R2,0.007654620866343498,5246,True,
9,DJF,lazy,original,R2,0.1513686764262741,2686,True,
10,DJF,lazy,original,R2,0.0933914141661796,2463,True,
11,DJF,mlp,all_basin,R2,0.2971586474487057,6428,True,
12,DJF,mlp,all_basin,R2,0.20589131721686438,7552,True,
13,DJF,lazy,original,R2,0.0435444226962101,740,True,
14,DJF,lazy,original,R2,0.0578859726178389,958,True,
1,MAM,lazy,original,R2,0.557975611874783,552,True,
2,MAM,lstm,original,R2,0.4661,6419,True,
3,MAM,lstm,basin,R2,0.587,3177,True,
4,MAM,mlp,synthetic,R2,0.5758602030487102,12272,True,
5,MAM,mlp,all,R2,0.4081193835694782,7354,True,
6,MAM,mlp,all_basin,R2,0.3339519750279495,4382,True,
7,MAM,lstm,basin,R2,0.0665,3515,True,
8,MAM,mlp,all_basin,R2,0.2178705462606897,5499,True,
9,MAM,mlp,all_basin,R2,0.3569306499001972,12659,True,
10,MAM,mlp,all_basin,R2,0.30133679935597457,12084,True,
11,MAM,mlp,all_basin,R2,0.3994347204185833,6334,True,
12,MAM,mlp,all_basin,R2,0.44102391009575304,7420,True,
13,MAM,mlp,all_basin,R2,0.28725385958808913,3898,True,
14,MAM,mlp,all_basin,R2,0.1215752263022245,4453,True,
1,JJA,lstm,all,R2,0.6714,1168,True,
2,JJA,lstm,original,R2,0.6178,5599,True,
3,JJA,lstm,basin,R2,0.6443,3113,True,
4,JJA,mlp,all_basin,R2,0.6572090048678785,11990,True,
5,JJA,lstm,basin,R2,0.4878,7319,True,
6,JJA,lstm,basin,R2,0.5061,4278,True,
7,JJA,lstm,basin,R2,0.4526,3298,True,
8,JJA,mlp,all_basin,R2,0.489601902176413,5628,True,
9,JJA,mlp,all_basin,R2,0.5218116643422037,12990,True,
10,JJA,mlp,all_basin,R2,0.5412400976676021,12195,True,
11,JJA,mlp,all_basin,R2,0.6123173550114243,5895,True,
12,JJA,mlp,synthetic,R2,0.6101826047839907,7339,True,
13,JJA,mlp,all_basin,R2,0.4403405039364099,4057,True,
14,JJA,mlp,synthetic,R2,0.40964307966497204,4589,True,
1,SON,lstm,newfeatures,R2,0.4956,1266,True,
2,SON,lstm,original,R2,0.4146,6015,True,
3,SON,lstm,basin,R2,0.5168,3045,True,
4,SON,mlp,all_basin,R2,0.5006903206727447,11644,True,
5,SON,mlp,all_basin,R2,0.28216792174786687,7165,True,
6,SON,lstm,basin,R2,0.2911,4361,True,
7,SON,lstm,basin,R2,0.1916,3209,True,
8,SON,mlp,all,R2,0.2340798585987639,5419,True,
9,SON,lazy,original,R2,0.2151086081972805,2741,True,
10,SON,mlp,synthetic,R2,0.15647289837131984,11862,True,
11,SON,mlp,all_basin,R2,0.42774040197584084,6158,True,
12,SON,mlp,all_basin,R2,0.41584553679990854,7479,True,
13,SON,lazy,original,R2,0.0183061512462511,814,True,
14,SON,lazy,original,R2,0.0436886380185684,987,True,
