cluster_id,season,pipeline,arm,metric,metric_value,n_samples,has_fitted_model,fallback_from
1,ALL,lstm,original,R2,0.4727083857442348,1431,True,
2,ALL,lazy,all,R2,0.4388464589391874,5032,True,
3,ALL,lstm,original,R2,0.5115309849029476,2782,True,
4,ALL,lazy,all,R2,0.5145045707983309,9446,True,
5,ALL,lazy,newfeatures,R2,0.4463357594250827,4722,True,
6,ALL,lazy,all,R2,0.275098639982795,4383,True,
7,ALL,lazy,newfeatures,R2,0.3746682627388247,730,True,
8,ALL,lazy,newfeatures,R2,0.4358311432126313,2049,True,
9,ALL,lazy,all,R2,0.4202671202097782,10648,True,
10,ALL,lazy,all,R2,0.3614629482375845,9941,True,
11,ALL,lazy,all,R2,0.4873125367566125,4831,True,
12,ALL,lazy,all,R2,0.4173878119647513,5622,True,
13,ALL,lazy,original,R2,0.2615534886351858,3217,True,
14,ALL,lazy,all,R2,0.2089296339194271,3901,True,
1,DJF,lstm,original,R2,0.3659,331,True,
2,DJF,lazy,all,R2,0.3018312475510214,1283,True,
3,DJF,lstm,original,R2,0.367,685,True,
4,DJF,lazy,all,R2,0.3570525547279798,2397,True,
5,DJF,lazy,all,R2,0.2810439654895486,1392,True,
6,DJF,lazy,all,R2,0.0194054669477983,1084,True,
7,DJF,lazy,newfeatures,R2,0.0211572261489324,180,True,
8,DJF,lazy,all,R2,0.0272550492673723,1058,True,
9,DJF,lazy,all,R2,0.2244185585621612,2619,True,
10,DJF,lazy,all,R2,0.1730799821761017,2385,True,
11,DJF,lazy,all,R2,0.2944542821923444,1291,True,
12,DJF,lazy,all,R2,0.2293074732454645,1497,True,
13,DJF,lazy,all,R2,0.0111870866348887,720,True,
14,DJF,lazy,all,R2,0.098087276769621,981,True,
1,MAM,lstm,original,R2,0.4093,368,True,
2,MAM,lazy,all,R2,0.4261108578583342,1359,True,
3,MAM,lazy,original,R2,0.5492734918600379,585,True,
4,MAM,lazy,newfeatures,R2,0.5779572058354923,491,True,
5,MAM,lazy,all,R2,0.4348848547167364,1505,True,
6,MAM,lstm,original,R2,0.3648,1032,True,
7,MAM,lazy,newfeatures,R2,0.3235212881358036,184,True,
8,MAM,lazy,newfeatures,R2,0.3328697872168482,547,True,
9,MAM,lazy,all,R2,0.4306995919895191,2768,True,
10,MAM,lazy,all,R2,0.3894049642281777,2658,True,
11,MAM,lazy,all,R2,0.3260333719289819,1296,True,
12,MAM,lazy,all,R2,0.4586789481015593,1405,True,
13,MAM,lazy,original,R2,0.2362065546939731,829,True,
14,MAM,lazy,all,R2,0.1852625652302346,945,True,
1,JJA,lstm,original,R2,0.659,368,True,
2,JJA,lstm,original,R2,0.6084,1265,True,
3,JJA,lstm,original,R2,0.6515,692,True,
4,JJA,lstm,original,R2,0.6608,2475,True,
5,JJA,lazy,newfeatures,R2,0.5215030923430686,1289,True,
6,JJA,lstm,all,R2,0.4677,1027,True,
7,JJA,lstm,all,R2,0.6329,184,True,
8,JJA,lstm,newfeatures,R2,0.575,508,True,
9,JJA,lazy,all,R2,0.5488139770713639,2652,True,
10,JJA,lazy,all,R2,0.5051175661100218,2583,True,
11,JJA,lazy,all,R2,0.6408989181516478,1094,True,
12,JJA,lazy,all,R2,0.4480327438433072,1321,True,
13,JJA,lazy,all,R2,0.4477679358179914,882,True,
14,JJA,lazy,all,R2,0.342563739182394,1011,True,
1,SON,lstm,original,R2,0.4456,364,True,
2,SON,lstm,synthetic,R2,0.4547,1273,True,
3,SON,lstm,synthetic,R2,0.5081,728,True,
4,SON,lstm,original,R2,0.5241,2142,True,
5,SON,lazy,newfeatures,R2,0.4577789436860876,1271,True,
6,SON,lazy,all,R2,0.3545678048245197,1065,True,
7,SON,lazy,newfeatures,R2,0.4115768648954546,182,True,
8,SON,lazy,newfeatures,R2,0.4601589563827968,522,True,
9,SON,lazy,all,R2,0.3556123744241747,2609,True,
10,SON,lazy,all,R2,0.2844470011382234,2315,True,
11,SON,lazy,all,R2,0.5568727283368307,1150,True,
12,SON,lazy,all,R2,0.4573310816825811,1399,True,
13,SON,lazy,all,R2,0.1723351710350439,786,True,
14,SON,lazy,all,R2,0.1264050314724851,964,True,
