feature,importance,std,cluster_id
2m_temperature,5.409890118681042,0.2020112541666825,1
2m_dewpoint_temperature,4.840304392853058,0.13596298035235768,1
relative_humidity,0.6849690392565148,0.03995490102473998,1
surface_pressure,0.491626974971623,0.03061039653208612,1
gust_factor,0.38005641149690966,0.018010631297103532,1
wind_mag,0.36863315675971026,0.022770896724237412,1
wind_mag_max,0.30076256808755425,0.017288238120279617,1
day_cos,0.06634359812602092,0.010952100074444273,1
wind_mag_std,0.055854818462873775,0.006689355847488511,1
wind_mag_min,0.05094566155907894,0.012286551316995435,1
10m_v_component_of_wind,0.04136342358692616,0.0073493237845814055,1
10m_u_component_of_wind,0.0394977417366589,0.013247825189982968,1
t2m_range,0.039428538256483694,0.007287822191057058,1
total_precipitation,0.03293963608201242,0.0070940900617204195,1
pressure_tendency,0.03279207355605296,0.006914269652145846,1
day_sin,0.027265086545701183,0.006875546265584925,1
lag1_wind_mag_max,0.02059379308617221,0.0071081165558953855,1
2m_dewpoint_temperature,4.820655985746746,0.12655106583355588,2
2m_temperature,4.0092812456043,0.15997332758221336,2
wind_mag_max,3.750856206205319,0.20202464444391083,2
relative_humidity,1.729546695253076,0.07457012745917517,2
wind_mag,1.606285918305754,0.053194175534368685,2
gust_factor,0.62016932502126,0.03126617887473529,2
total_precipitation,0.3371172941168661,0.037718494887379606,2
wind_mag_std,0.26672565631385886,0.026689283426947884,2
wind_mag_min,0.09649036154673465,0.014501507814543459,2
10m_u_component_of_wind,0.09099010292064309,0.018519423557078786,2
t2m_range,0.0746349263267298,0.009226593122143972,2
10m_v_component_of_wind,0.05674961273383817,0.00838889303729359,2
pressure_tendency,0.02460687316717355,0.01352048949195805,2
day_cos,0.02311502433714366,0.010517001338894076,2
surface_pressure,0.0156952321126035,0.008002352908186997,2
lag1_wind_mag_max,0.013073182066295841,0.014172989771308162,2
day_sin,0.0038808068091685578,0.015370429388083362,2
2m_dewpoint_temperature,5.907121671510794,0.2416925672091567,3
2m_temperature,4.675393133405316,0.19745381872937925,3
relative_humidity,1.2225777438440535,0.06553976325752493,3
wind_mag_std,0.307636362065416,0.02543846916235801,3
total_precipitation,0.2896806443597257,0.048989502340402405,3
wind_mag_max,0.23894112710726215,0.0344254080750954,3
wind_mag_min,0.2257355206091962,0.031638359531038475,3
10m_u_component_of_wind,0.1721959634036385,0.03619618859794752,3
gust_factor,0.1584907945134413,0.014089728160642951,3
t2m_range,0.10424597170644094,0.025839647157036832,3
wind_mag,0.0999411249440215,0.021508146986017038,3
day_cos,0.08422632525819883,0.009869043361887273,3
10m_v_component_of_wind,0.06982485553314019,0.014861744390768898,3
surface_pressure,0.05010948119055609,0.014449636111318711,3
pressure_tendency,0.047398999559013374,0.01264374768881163,3
lag1_wind_mag_max,0.02719454688740742,0.012052520586705055,3
day_sin,0.019791638169429023,0.009336696419982096,3
2m_dewpoint_temperature,8.006739272965493,0.3116883024842692,4
2m_temperature,4.647238741431648,0.11056314889923231,4
wind_mag,2.4333170707388243,0.05578887466555061,4
wind_mag_max,2.4056523471927567,0.08630186028507411,4
relative_humidity,1.744003472990642,0.05356620762261801,4
gust_factor,0.901221299882008,0.02753519937066281,4
total_precipitation,0.29932284878523974,0.015652897394082804,4
surface_pressure,0.17218395170568485,0.01531921426521991,4
10m_v_component_of_wind,0.1143080215659552,0.010971985060073016,4
t2m_range,0.08918002471128376,0.009635063026009543,4
wind_mag_std,0.081156669429848,0.006043717835334999,4
10m_u_component_of_wind,0.07682788338724494,0.009191297261725411,4
