codigo_estacao,latitude,longitude,n_dias,inmet_p95,inmet_p99,inmet_max,era5_p95,era5_p99,era5_max
A001,-15.7894,-47.9258,9186,12.2,15.015039,26.4,12.378275,13.697415,17.1172
A002,-16.6428,-49.2203,8729,12.5,15.5,23.2,11.45726,12.843348,16.4647
A003,-17.745,-49.1017,7710,13.9,17.4,25.0,11.822404,13.597805,17.9727
A004,-14.4694,-48.4858,5431,13.8,16.9,23.9,11.34355,12.627211,16.3916
A005,-13.3094,-49.1175,3622,12.7,16.379004,23.5,10.907885,12.160597,13.8747
A006,-14.5333,-49.9667,685,12.879998,15.016004,17.4,11.654059,13.143623,17.7097
A007,-15.4333,-50.3667,583,13.7,17.753998,23.5,11.060147,12.383947,13.271
A008,-15.9075,-48.12,3348,15.3,18.55901,24.2,12.206529,13.559534,16.2774
A009,-10.1478,-48.3144,7314,16.0,18.6,23.4,12.058355,13.197447,16.0513
A010,-12.615,-47.8719,7082,12.7,15.9,24.7,11.781349,13.050113,15.1344
A011,-18.9692,-50.6333,5984,15.28501,19.516993,24.9,11.416821,13.03854,16.945
A012,-16.2606,-47.9669,6754,13.8,16.9,24.5,11.93507,13.328314,17.7758
A013,-15.9028,-52.2453,5808,12.9,16.4,24.4,10.092455,11.356311,14.7484
A014,-15.9397,-50.1414,6459,14.0,16.983984,24.0,11.446831,12.850368,15.161
A015,-14.9797,-49.5394,5597,13.8,17.4,24.6,10.720139,12.13922,14.0323
A016,-17.9236,-51.7175,6620,15.0,18.681007,24.5,11.245714,13.331139,20.4695
A017,-14.0892,-46.3664,6522,14.0,16.3,23.5,13.477329,14.956806,18.4462
A018,-12.0153,-48.5444,5527,13.3,17.1,24.8,12.02994,13.489918,14.839
A019,-11.745,-49.0517,6553,13.5,16.9,24.8,12.23414,13.568523,14.8822
A020,-8.9686,-48.1772,6244,12.6,15.6,23.7,11.0779505,12.224512,15.0034
A021,-7.1039,-48.2011,5847,12.0,14.354004,18.7,11.39318,12.585084,15.0708
A022,-15.2203,-48.99,6386,13.4,17.01499,24.6,11.746426,13.219569,14.9596
A023,-16.9669,-51.8175,6585,13.5,16.9,24.1,11.28426,12.804464,17.8173
A024,-14.1331,-47.5233,5740,13.1,15.960986,24.2,13.149598,14.749268,18.3008
